,Python/is_empty1,Python/is_empty2,C++/is_empty,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
2,7.460259139770642,0.06058582799741998,0.0563597165979445,483.2882779883221,FFFF,100000,125384,3,1,1,99998,20,(((((Fin(9) & Fin(4)) | Fin(4)) & Fin(6)) | (Inf(0)&Inf(12)&Inf(18)) | Inf(15) | (Fin(1)|Fin(3)) | Inf(15) | Inf(7) | Inf(8) | (Fin(10) & Fin(8))) & (Fin(0) | Inf(2)) & (((Inf(2)&Inf(19)) & Fin(19)) | Inf(17)) & ((Fin(10)|Fin(13)) | Inf(15) | Inf(15)) & (((Inf(5) | Inf(14)) & (Fin(8)|Fin(16)) & Inf(17) & Fin(11)) | (Inf(1)&Inf(10)) | (Fin(5)|Fin(10)))) | (Fin(10) & Fin(16) & Fin(3)),random-rep
3,18.91408749797847,7.153902779100463,7.095909500494599,276.81610197760165,FFFF,100000,125338,1,1,1,100000,20,(Fin(17) | ((Inf(7)&Inf(15)) & (Fin(11) | Inf(7)) & ((Fin(4)|Fin(14)) | (Inf(7) & (Fin(2)|Fin(16))) | ((Inf(4)&Inf(12)) & Fin(2) & Fin(9))))) & Inf(0) & (Fin(6) | Inf(1)) & ((Fin(8) & Fin(0) & Inf(14)) | ((Inf(7) | Inf(1)) & Inf(3)) | (Fin(2) & (Inf(3)&Inf(9)&Inf(18)) & (Inf(0) | Fin(17) | Inf(13))) | (Fin(7) & (Inf(7)&Inf(11))) | Inf(11) | Inf(5) | ((Fin(19) | Inf(14)) & Fin(8) & Fin(0)) | (Inf(11) & Fin(10))),random-rep
4,18.056208099005744,0.08445231800433248,0.07968943759333343,107.6821135065984,FFFF,100000,125415,4,1,1,99997,20,(Inf(1) | ((Inf(13)&Inf(14)) & Fin(11)) | Fin(1) | ((((Inf(8)&Inf(19)) & ((Inf(16) & Fin(5)) | Fin(3))) | (Fin(3)|Fin(4)) | (Inf(11)&Inf(13))) & (((Inf(9)&Inf(16)) & Fin(13)) | ((Inf(10)&Inf(17)) & Fin(11))) & Inf(6) & Fin(14))) & ((Fin(18) & Fin(6) & Inf(2) & ((Inf(13) & Fin(13) & ((Fin(4)|Fin(15)) | Inf(7))) | (Inf(12) & Fin(3) & Fin(0)) | Inf(1))) | (Fin(7)|Fin(11))),random-rep
5,5.9368900989647955,0.08878195019206032,0.08397391579346732,229.89338700426742,FFFF,100000,125383,5,3,3,99998,20,Fin(18) | (Inf(5)&Inf(17)) | (((Fin(17) & Fin(7)) | Inf(18) | Inf(3)) & ((Fin(0) & Fin(15) & (Fin(11) | Inf(17) | (Inf(8)&Inf(13))) & Fin(11)) | Inf(6) | (Fin(11) & Fin(3) & Fin(3))) & (Inf(14) | ((Inf(1)&Inf(6)&Inf(18)&Inf(19)) & Fin(3)))) | Inf(9) | (Inf(16) & Fin(10) & Fin(9)) | (Inf(6)&Inf(8)) | (Fin(17) & Fin(4) & Fin(2)) | ((((Inf(13) | Inf(9)) & Fin(6) & Fin(13) & Inf(11)) | Inf(17)) & (Fin(13) | (Inf(17) & Fin(12)))) | (((Fin(17) & Fin(17)) | (Fin(12) & Fin(14)) | Fin(4)) & Fin(17) & Fin(17) & Inf(11)),random-rep
6,74.24172379542142,73.79832840524614,29.499577899696305,12.4009303515777,TTTT,100000,125542,2,1,1,99999,20,(((((Inf(0)&Inf(5)) | Fin(15) | Inf(7)) & (Inf(9) | (Fin(16) & Fin(7) & Fin(18)))) | Inf(5) | (Fin(0)|Fin(19)) | (Fin(10) & Fin(3)) | Inf(17) | Inf(1) | Inf(17)) & Fin(14) & Inf(14)) | ((Inf(8)&Inf(13)) & Fin(7) & Fin(19) & ((Inf(2) & Fin(9)) | (Fin(16) & Fin(0) & Fin(4) & Fin(0)) | Inf(15)) & (Inf(11) | Inf(6)) & Fin(8) & (Inf(12) | Fin(7))),random-rep
7,6.466335579752922,0.02667122510029003,0.023220683599356563,331.432898005005,FFFF,100000,125440,8,1,1,99993,20,(((Inf(10) | ((Fin(8)|Fin(14)) & Inf(14)) | (Fin(2)|Fin(9)|Fin(15)) | (Inf(13) & Fin(8))) & ((Fin(8) & Fin(1)) | (Inf(2)&Inf(9))) & (Inf(4)&Inf(14))) | ((Fin(8) | ((Fin(2)|Fin(19)) & Inf(8) & Fin(11)) | (Inf(5) & Fin(14))) & (((Fin(8) | Inf(14)) & Fin(2)) | Inf(10)) & Inf(12) & ((Fin(2) & (Inf(7)&Inf(16)) & Fin(0) & Fin(14)) | (Fin(1) & Inf(19)))) | (Fin(18) & Fin(17) & Fin(8)) | Fin(3) | Inf(4) | Inf(16) | ((Fin(10) | (Fin(13) & Inf(18)) | Inf(8)) & Fin(9))) & ((Inf(6)&Inf(10)) | (Fin(8) & ((Inf(14)&Inf(18)) | Fin(9)))),random-rep
8,6.369617319433019,0.09695202000439167,0.09230094939703122,280.7852799887769,FFFF,100000,125169,2,1,1,99999,20,(Inf(11) & (Inf(18) | (Inf(8) & Fin(1)) | Inf(6)) & ((Inf(0)&Inf(13)) | Fin(10)) & Fin(5) & Fin(18)) | Inf(15) | ((((Inf(19) | (Inf(2) & Fin(0)) | (Fin(3)|Fin(14))) & Fin(18) & Fin(16) & ((Fin(7) & Inf(9) & Fin(10)) | Inf(13) | Inf(13))) | Inf(6) | Fin(17) | (Fin(4) & Fin(18))) & (Inf(1)&Inf(9)&Inf(12))),random-rep
9,6.546386720146984,0.05420199600048363,0.05033457559766248,761.0879400162958,FFFF,100000,125488,5,1,1,99996,20,((Fin(4) | ((Fin(19) | Inf(9)) & (Inf(18) | Inf(6)))) & Inf(4)) | ((Inf(7) | (Fin(2) & Fin(15)) | Fin(16) | Inf(10) | Inf(14)) & (((Fin(8)|Fin(11)|Fin(19)) & Inf(18)) | Fin(2)) & (Fin(0)|Fin(7))) | (((Fin(4)|Fin(5)|Fin(14)) | Inf(15) | (Inf(14) & (Inf(8) | Fin(1)) & (Fin(3)|Fin(12)))) & ((Fin(11)|Fin(18)) | ((Inf(1)&Inf(17)) & Fin(13))) & (Inf(15) | Inf(11) | Fin(2))) | Fin(14),random-rep
10,6.346258439589292,0.07034310380695388,0.06522433459758759,228.87056501349434,FFFF,100000,125360,1,1,1,100000,20,((Fin(2) | (Inf(19) & (Fin(9)|Fin(17)))) & Fin(14) & Inf(1)) | Fin(12) | Inf(18) | (Fin(4) & (((Inf(14)&Inf(15)) & (Inf(3) | Fin(16)) & Fin(3) & Fin(11) & (Inf(1) | (Fin(0)|Fin(6)))) | ((Inf(10) | (Fin(5) & ((Inf(12) & Fin(14)) | Inf(14) | (Fin(7) & (Fin(4) | Inf(2))) | Inf(1) | (Fin(14) & Inf(13))))) & (Inf(9)&Inf(16)) & Fin(7)))) | (((Fin(7) & Fin(12)) | (((Fin(5) & (Inf(5) | Inf(8))) | (Fin(4)|Fin(14))) & (Inf(1)&Inf(16)) & Fin(14))) & ((Fin(8) & Fin(4)) | (Fin(4)|Fin(10)) | ((Inf(2)&Inf(12)) & Fin(4)))),random-rep
11,38.82071559783071,31.97507720324211,12.413878450752236,12.622793950140476,TTTT,100000,125576,2,1,1,99999,20,Fin(8) & Fin(1) & (Inf(17) | (Fin(4)|Fin(19)) | Inf(16) | ((((Inf(10) | Inf(12)) & (Inf(3) | Inf(5))) | Fin(16)) & Fin(3) & Inf(4)) | Inf(18) | Inf(5) | (Fin(19) & Fin(12)) | (Fin(12) & Fin(15) & Fin(7) & Fin(16)) | Inf(14) | Inf(16) | ((Fin(11) | Inf(13)) & Inf(0))) & Fin(15) & Fin(8) & (Inf(3)&Inf(14)) & (Inf(5) | Inf(15)) & Fin(14) & (Fin(14) | Inf(6)) & ((Fin(0) & ((Fin(1) & Fin(16)) | Fin(12)) & Fin(12) & Inf(16) & Fin(1)) | (Fin(19) & (Inf(5)&Inf(19)) & ((Fin(3) & (Inf(4) | Fin(7))) | Fin(2))) | Fin(18) | Inf(3) | (Fin(4) & Fin(9))),random-rep
12,38.99740609922446,31.556267000269145,11.966891647898592,50.07716359104961,TTTT,100000,125586,2,1,1,99999,20,(Inf(17) | Inf(1) | Inf(14)) & (Inf(14) | (Inf(9) & Fin(10) & (Inf(4) | Fin(15)))) & ((Fin(19) & Inf(13)) | Inf(19) | Inf(7) | (Inf(18) & Fin(11) & Fin(12) & Fin(2))) & Fin(16) & (Fin(6)|Fin(9)) & Fin(5) & (Inf(10) | Inf(0) | Fin(8)) & Fin(14) & Fin(3) & (Inf(1)&Inf(19)) & Fin(17),random-rep
13,6.231965760234743,0.09737083479994908,0.09215613959822803,216.78694296861067,FFFF,100000,125344,4,1,1,99997,20,(Inf(14) & (Fin(6) | Inf(7)) & (Inf(2) | ((Inf(1) | Fin(8)) & Inf(18) & (Inf(0) | Inf(3))) | (Fin(15) & (Fin(1)|Fin(17))) | Inf(17))) | (((Fin(12) & Inf(5)) | Inf(15) | Fin(13)) & ((Fin(10) & Inf(17) & Fin(17)) | Inf(2)) & (Inf(17) | Inf(0))) | Fin(1) | (Fin(16) & Inf(14)) | Inf(18) | (Inf(11) & (Inf(19) | (Fin(1)|Fin(11)|Fin(16)) | Inf(12) | (Inf(14) & (Inf(4) | Fin(12))) | ((Fin(12)|Fin(17)) & Fin(17)) | Inf(9))),random-rep
14,18.562602749443613,4.857057580957189,4.857364560011774,80.69790920708328,FFFF,100000,125524,5,1,1,99996,20,(Fin(4)|Fin(17)) & ((Fin(1) & Fin(7)) | (Fin(3) & Fin(14)) | Inf(9) | Inf(7) | Inf(2) | Inf(1) | ((Fin(2) | Inf(7)) & (Inf(2)&Inf(7)) & Fin(18) & Fin(0) & (Fin(17) | Inf(11)) & (Inf(17) | Fin(5))) | (((Inf(19) & Fin(10) & (Fin(13) | Inf(12))) | Fin(15)) & (Inf(10) | (Fin(18) & (Inf(7) | Inf(7))) | Inf(5)) & Fin(5) & ((Fin(6)|Fin(13)) | ((Fin(8) | Inf(12)) & Inf(17) & ((Fin(4) & Inf(16)) | Fin(17))) | Inf(11)))),random-rep
15,6.345984920626506,0.06020829839399085,0.05616076099686325,140.5802444787696,FFFF,100000,125470,2,1,1,99999,20,((Inf(10) | Inf(5)) & Inf(15)) | ((Inf(19) | Inf(15)) & (Inf(8)&Inf(15)) & Fin(18) & (Fin(12) | Inf(16))) | ((((Inf(9) | Inf(3) | Fin(19) | (Fin(3) & Fin(6))) & ((Inf(3)&Inf(11)) | Fin(3)) & (Inf(3) | Inf(14) | Inf(14))) | Inf(0) | (Fin(14) & (Inf(16) | Fin(12)) & (Fin(14) | ((((Inf(2)&Inf(3)&Inf(4)) & Fin(3)) | Inf(9)) & Fin(0))))) & (Inf(10)&Inf(14)) & Fin(17) & (Inf(14) | (((Fin(12) & Inf(10)) | Inf(7) | Inf(3)) & (((Inf(17) | Fin(13) | (Fin(17) & Inf(3) & Fin(1))) & Fin(13)) | Inf(6))) | (Fin(0) & (Fin(11)|Fin(15))))),random-rep
16,20.773562701651827,1.6553588450187817,1.6357391700148582,89.72011720761657,FFFF,100000,125459,4,1,1,99997,20,(Fin(1) & (Fin(13) | Inf(18) | Inf(12) | (Inf(3)&Inf(16)) | Inf(4)) & Fin(8) & Inf(7) & Fin(1)) | ((Inf(2)&Inf(3)&Inf(17)) & Fin(15) & Fin(2) & Fin(12) & ((Fin(15) & Fin(17) & Inf(6) & Fin(9) & Fin(12) & Fin(8)) | (Inf(12) & (Inf(6) | Inf(10))) | Inf(15) | Inf(17) | Fin(19) | Inf(5) | Inf(11) | (Fin(3) & Fin(0))) & Fin(2)) | Fin(14),random-rep
17,6.28415824030526,0.09141442519612611,0.08793419180437922,191.2163535016589,FFFF,100000,125289,5,1,1,99996,20,((Fin(0)|Fin(10)) & Inf(10)) | (Inf(10) & Fin(0)) | (Fin(13) & (Inf(9)&Inf(13)) & Fin(6)) | ((Inf(11)&Inf(14)) & (Fin(13) | (Inf(0)&Inf(17)))) | Inf(19) | (((Fin(2)|Fin(10)) | (Fin(4) & Fin(9))) & ((Fin(8) & Fin(0) & Inf(3) & (Fin(14) | Inf(1) | (Fin(8) & Fin(0)) | (Fin(0) & Fin(16)) | (Fin(18) & (Inf(0)&Inf(8))))) | Inf(6))) | Fin(9) | ((Inf(4) | Fin(5)) & (Inf(19) | (Inf(1)&Inf(7)) | Inf(0) | Fin(12)) & Fin(10) & (Inf(4)&Inf(15))),random-rep
18,5.620693960227072,0.041652224399149416,0.038021526398370045,12.694909251877107,FFFF,100000,125351,1,1,1,100000,20,(Fin(1)|Fin(2)|Fin(3)|Fin(7)|Fin(14)) | Inf(6) | Inf(17) | Inf(9) | Inf(19) | (Fin(16) & Inf(4) & (Inf(15) | Inf(10))) | (Fin(8) & Fin(7) & Fin(7) & (Inf(14) | Inf(9))) | Inf(18) | (Inf(0)&Inf(19)) | ((Inf(3) | Fin(17)) & Inf(9) & Fin(7)) | (((Inf(7) & Fin(5) & Fin(8)) | Fin(12)) & Fin(11) & Fin(7)) | Inf(3) | Inf(16) | (Inf(7) & Fin(13)),random-rep
19,21.824130800087005,8.103132960386574,8.081660019233823,251.52957503451034,FFFF,100000,125285,1,1,1,100000,20,(((Fin(16) | Inf(15)) & (Fin(18) | Inf(7) | (Fin(3) & Inf(6))) & Fin(7) & ((Fin(15)|Fin(18)) | (Inf(2) & Fin(7)))) | (((Inf(9)&Inf(18)) | Inf(3) | Inf(2) | Inf(17) | (Inf(18) & Fin(16)) | (Fin(10)|Fin(17)) | Inf(18) | Inf(12) | Inf(11)) & ((Inf(10) & Fin(4)) | (Fin(14) & Inf(13)))) | (Inf(16) & Fin(13)) | (Fin(2)|Fin(9)|Fin(15)|Fin(19)) | ((Inf(0)&Inf(3)&Inf(4)) & (Fin(3) | (Fin(8) & Fin(3))) & (Inf(4) | Inf(16)))) & ((Fin(3) & (Fin(18) | Inf(1) | (Fin(18) & (Inf(11)&Inf(17))))) | (Fin(15) & Fin(5)) | (Fin(3)|Fin(10)|Fin(11)|Fin(15)|Fin(18)) | Inf(16) | Inf(15)),random-rep
